no,category,club_name
1,体育会,アーチェリー部
2,体育会,合気道部
3,体育会,アメリカンフットボール部
4,体育会,ウエイトリフティング部
5,体育会,応援団
6,体育会,空手部
7,体育会,弓道部
8,体育会,競走部
9,体育会,剣道部
10,体育会,拳法部
11,体育会,航空部
12,体育会,硬式庭球部
13,体育会,硬式野球部
14,体育会,ゴルフ部
15,体育会,サッカー部
16,体育会,山岳部
17,体育会,自転車部
18,体育会,自動車部
19,体育会,射撃部
20,体育会,柔道部
21,体育会,準硬式野球部
22,体育会,少林寺拳法部
23,体育会,水泳部（競泳）
24,体育会,水泳部（水球）
25,体育会,スキー部
26,体育会,スケート部（スピード )
27,体育会,スケート部（アイスホッケー ）
28,体育会,スケート部（フィギュア）
29,体育会,相撲部
30,体育会,ソフトテニス部
31,体育会,体操部
32,体育会,卓球部
33,体育会,端艇部
34,体育会,馬術部
35,体育会,バスケットボール部（男子）
36,体育会,バスケットボール部（女子）
37,体育会,バドミントン部
38,体育会,バレーボール部
39,体育会,ハンドボール部
40,体育会,フェンシング部
41,体育会,ボードセーリング部
42,体育会,ボクシング部
43,体育会,ホッケー部
44,体育会,明大スポーツ新聞部
45,体育会,ヨット部
46,体育会,ラグビー部
47,体育会,ラクロス部（女子）
48,体育会,ラクロス部（男子）
49,体育会,レスリング部
50,体育会,ローバースカウト部
51,体育会,ワンダーフォーゲル部
52,公認団体,歌舞伎研究会
53,公認団体,グリークラブ
54,公認団体,交響楽団（明オケ）
55,公認団体,混声合唱団
56,公認団体,さわらびコール
57,公認団体,シェイクスピアプロジェクト（MSP）
58,公認団体,津軽三味線「響」
59,公認団体,ハーモニカソサエティ
60,公認団体,マンドリン倶楽部
61,公認団体,落語研究会
62,公認団体,女子硬式野球クラブ
64,公認団体,Big Sounds Society Orchestra（BSSO）
65,公認団体,元父母の会
66,公認団体,美術研究会
